[17:30:01.971] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.985] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.002] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.019] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.036] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.054] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.069] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.087] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.102] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.119] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.136] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.152] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.169] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.186] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:02.202] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
