[17:30:01.719] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.735] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.751] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.768] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.785] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.801] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.818] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.837] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.852] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.869] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.885] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.903] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.919] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.935] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:01.953] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:04.238] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:04.254] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
