[17:30:01.971] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:01.985] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.002] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.019] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.036] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.054] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.069] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.087] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.102] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.119] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.136] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.152] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.169] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.186] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.186] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.202] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.202] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.219] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.219] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.236] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.236] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.253] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.253] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.269] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.269] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.286] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.286] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.303] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.303] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.319] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.319] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.336] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.336] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.352] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.352] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.370] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.370] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.386] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.386] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.403] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.403] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.419] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.419] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.435] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.435] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.452] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.452] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.468] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.469] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.485] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.485] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.502] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.502] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.519] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.519] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.535] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.535] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.552] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.552] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.569] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.569] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.588] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.588] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.603] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.603] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.619] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.619] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.635] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.635] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.652] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.652] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.669] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.669] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.685] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.685] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.702] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.702] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.719] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.719] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:02.736] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.736] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.753] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.753] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.770] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.770] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.796] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.796] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.803] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.803] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.819] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.819] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.836] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.836] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.852] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.852] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.869] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.869] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.887] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.887] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.902] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.903] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.919] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.919] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.936] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.936] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.952] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.952] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.969] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.969] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:02.986] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:02.986] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.003] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.003] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.019] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.019] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.036] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.036] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.052] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.052] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.069] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.069] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.086] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.086] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.102] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.103] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.119] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.119] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.136] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.136] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.153] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.153] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.169] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.169] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.186] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.186] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.203] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.203] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.219] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.219] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.236] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.236] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.253] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.253] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.269] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.269] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.286] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.286] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.303] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.303] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.319] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.319] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.337] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.337] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.353] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.353] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.371] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.371] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.389] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.389] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.403] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.403] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.421] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.422] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.437] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.437] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.455] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.455] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.470] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.470] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.488] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.488] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.503] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.503] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.521] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.521] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.537] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.537] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.554] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.554] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.570] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.570] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.587] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.587] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.605] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.605] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.621] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.621] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.638] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.638] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.654] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.654] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.670] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.670] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.687] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.687] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.703] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.704] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.720] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, 50000.0), activation=Activate
[17:30:03.720] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
